session_id,target
1,0.00011090301266689411
2,2.1811072006623316e-10
3,1.0769590815928855e-12
4,2.347728048716427e-16
5,1.4488440810930247e-06
6,3.5921635601469065e-06
7,4.445734276779995e-05
8,2.1224931790760635e-06
9,1.1980250120373106e-06
10,0.012009059753309681
11,3.0692255140790374e-07
12,4.102276368989817e-08
13,9.776917990108583e-06
14,0.008429244643133006
15,2.3540022256112615e-06
16,0.0005428089114130581
17,0.01129024887394419
18,2.2196018987069317e-09
19,1.4014504522579007e-05
20,1.4339356568790906e-10
21,0.017126422722281265
22,4.1796902312504584e-10
23,2.0329207481684564e-07
24,5.497271544533729e-05
25,0.06523544072390029
26,3.3723876987436313e-15
27,3.436305484942832e-07
28,5.367247596321786e-13
29,0.007378532815184698
30,5.055599693377882e-06
31,0.01204894152960055
32,0.0068592619150229526
33,1.0360906046065083e-05
34,4.200338986274292e-11
35,0.0025162364411889255
36,0.00011033261588102142
37,4.3109724646316777e-16
38,1.488324414011772e-10
39,6.607440464245217e-07
40,3.081310019073007e-08
41,1.125774015619527e-05
42,0.012623812333660285
43,6.297706765483697e-09
44,2.3595368368378848e-07
45,0.8073322839768996
46,2.648466016034619e-07
47,2.2787241293917156e-05
48,1.4442133179202936e-05
49,1.028285635479762e-07
50,3.760465223024867e-10
51,9.570859761386611e-15
52,9.093916288296857e-09
53,0.015213724609128664
54,7.9704278208523e-06
55,7.048255429493035e-09
56,0.001151710344492841
57,1.165586431462149e-11
58,2.0611818999411555e-10
59,1.0145380217012863e-06
60,4.617830773646508e-09
61,2.8215656171717537e-10
62,1.4542191525073452e-06
63,5.649361609334041e-08
64,3.095048967248033e-08
65,1.0281116224597978e-08
66,2.1145708150244026e-10
67,7.262697599088224e-08
68,1.1773770821730515e-05
69,0.0304387673507119
70,1.1141438000018836e-07
71,1.529527635551865e-05
72,3.884222301430615e-06
73,0.12089955517618974
74,8.469112407782156e-10
75,2.4921963332343746e-06
76,1.2855414924046518e-05
77,5.074867150012848e-06
78,0.0005297189808413133
79,1.1103619207592576e-08
80,1.6418570547850675e-07
81,1.589864900842286e-09
82,2.6130122528856058e-06
83,2.8331200324589908e-14
84,0.5457039830763869
85,5.254775502606756e-08
86,8.161363959698907e-10
87,0.0003316605984550936
88,8.221353537640655e-06
89,2.8358329104889688e-05
90,0.014414330956879608
91,7.336043466999135e-08
92,3.209338163149468e-07
93,0.02358770691353133
94,1.3422326676305456e-06
95,0.10609735302952505
96,1.2051957282568764e-09
97,2.2367639914491115e-06
98,3.045635530383215e-07
99,2.6304496041286243e-09
100,3.4446269948467423e-06
101,3.51896030583983e-07
102,0.12450905330655106
103,1.538199562637606e-06
104,1.0368776447893186e-06
105,1.5871837474681524e-08
106,7.806940835289937e-08
107,0.0002035964993126313
108,2.220260639982855e-07
109,3.5120810106264247e-10
110,3.165679885284478e-08
111,1.117193399226283e-06
112,7.246113859640836e-13
113,0.0020815897338654996
114,5.968165594424186e-11
